No,d(A),I(f),h,k,l,2Theta
1,3.9,12,1,0,0,22.783
2,2.759,100,1,1,0,32.424
3,2.253,30,1,1,1,39.984
4,1.952,50,2,0,0,46.483
5,1.746,3,2,1,0,52.357
6,1.594,40,2,1,1,57.794
7,1.381,25,2,2,0,67.803
8,1.302,1,3,0,0,72.543
9,1.235,15,3,1,0,77.175
10,1.1774,5,3,1,1,81.721
11,1.1273,8,2,2,2,86.204
12,1.0437,16,3,2,1,95.127
13,0.9765,3,4,0,0,104.15
14,0.9205,10,4,1,1,113.609
15,0.8959,3,3,3,1,118.585
16,0.8731,10,4,2,0,123.826
17,0.8325,6,3,3,2,135.416
18,0.7972,9,4,2,2,150.136
